v1,fips,cum_cases,cum_deaths,cases,deaths,date,state,week_case_diff,week_death_diff,week_case_growth,week_death_growth,day_case_diff,day_death_diff,day_case_growth,day_death_growth
2244,48,11,0,0,0,01mar2020,Texas,2.079441541679836,0,.980829253011726,0,0,0,0,0
2299,48,11,0,0,0,02mar2020,Texas,.6931471805599453,0,-1.504077396776274,0,0,0,0,0
2354,48,11,0,0,0,03mar2020,Texas,.6931471805599453,0,-1.504077396776274,0,0,0,0,0
2409,48,12,0,1,0,04mar2020,Texas,1.09861228866811,0,-1.09861228866811,0,.6931471805599453,0,.6931471805599453,0
2464,48,16,0,4,0,05mar2020,Texas,1.945910149055313,0,-.2513144282809063,0,1.6094379124341,0,.916290731874155,0
2519,48,19,0,3,0,06mar2020,Texas,2.19722457733622,0,.1177830356563838,0,1.386294361119891,0,-.2231435513142097,0
2574,48,19,0,0,0,07mar2020,Texas,2.19722457733622,0,.1177830356563838,0,0,0,-1.386294361119891,0
2629,48,23,0,4,0,08mar2020,Texas,2.564949357461537,0,.485507815781701,0,1.6094379124341,0,1.6094379124341,0
2684,48,24,0,1,0,09mar2020,Texas,2.639057329615258,0,1.945910149055313,0,.6931471805599453,0,-.916290731874155,0
2739,48,31,0,7,0,10mar2020,Texas,3.044522437723423,0,2.351375257163478,0,2.079441541679836,0,1.38629436111989,0
2794,48,33,0,2,0,11mar2020,Texas,3.091042453358316,0,1.992430164690206,0,1.09861228866811,0,-.980829253011726,0
2849,48,41,0,8,0,12mar2020,Texas,3.258096538021482,0,1.312186388966169,0,2.19722457733622,0,1.09861228866811,0
2904,48,58,0,17,0,13mar2020,Texas,3.688879454113936,0,1.491654876777717,0,2.890371757896165,0,.693147180559945,0
2959,48,69,0,11,0,14mar2020,Texas,3.931825632724326,0,1.734601055388106,0,2.484906649788,0,-.4054651081081642,0
3014,48,80,0,11,0,15mar2020,Texas,4.060443010546419,0,1.495493653084882,0,2.484906649788,0,0,0
3069,48,87,1,7,1,16mar2020,Texas,4.158883083359671,.6931471805599453,1.519825753744413,.6931471805599453,2.079441541679836,.6931471805599453,-.4054651081081646,.6931471805599453
3124,48,106,1,19,0,17mar2020,Texas,4.330733340286331,.6931471805599453,1.286210902562908,.6931471805599453,2.995732273553991,0,.9162907318741551,-.6931471805599453
3179,48,166,2,60,1,18mar2020,Texas,4.897839799950911,1.09861228866811,1.806797346592595,1.09861228866811,4.110873864173311,.6931471805599453,1.115141590619321,.6931471805599453
3234,48,248,4,82,2,19mar2020,Texas,5.337538079701318,1.6094379124341,2.079441541679836,1.6094379124341,4.418840607796598,1.09861228866811,.3079667436232869,.4054651081081645
3289,48,386,5,138,1,20mar2020,Texas,5.796057750765372,1.791759469228055,2.107178296651436,1.791759469228055,4.934473933130691,.6931471805599453,.5156333253340932,-.4054651081081645
3344,48,547,5,161,0,21mar2020,Texas,6.171700597410915,1.791759469228055,2.239874964686589,1.791759469228055,5.087596335232384,0,.1531224021016921,-.6931471805599453
3399,48,639,7,92,2,22mar2020,Texas,6.327936783729195,2.079441541679836,2.267493773182776,2.079441541679836,4.532599493153256,1.09861228866811,-.5549968420791274,1.09861228866811
3454,48,728,7,89,0,23mar2020,Texas,6.464588303689961,1.945910149055313,2.30570522033029,1.252762968495368,4.499809670330265,0,-.0327898228229913,-1.09861228866811
3509,48,857,11,129,4,24mar2020,Texas,6.62273632394984,2.397895272798371,2.292002983663509,1.704748092238425,4.867534450455582,1.6094379124341,.3677247801253172,1.6094379124341
3564,48,1132,13,275,2,25mar2020,Texas,6.874198495453294,2.484906649788,1.976358695502383,1.386294361119891,5.62040086571715,1.09861228866811,.7528664152615674,-.5108256237659905
3619,48,1542,21,410,8,26mar2020,Texas,7.166265974133638,2.890371757896165,1.82872789443232,1.280933845462064,6.018593214496234,2.19722457733622,.3981923487790846,1.09861228866811
3674,48,1971,25,429,4,27mar2020,Texas,7.368970402194793,3.044522437723423,1.572912651429421,1.252762968495368,6.063785208687608,1.6094379124341,.0451919941913737,-.5877866649021193
3729,48,2381,30,410,5,28mar2020,Texas,7.51479976048867,3.258096538021482,1.343099163077755,1.466337068793427,6.018593214496234,1.791759469228055,-.0451919941913737,.1823215567939547
3784,48,2722,35,341,5,29mar2020,Texas,7.642044402873258,3.367295829986474,1.314107619144063,1.287854288306638,5.834810737062605,1.791759469228055,-.1837824774336294,0
3839,48,3065,46,343,11,30mar2020,Texas,7.757051142032013,3.688879454113936,1.292462838342052,1.742969305058623,5.840641657373398,2.484906649788,.0058309203107934,.6931471805599454
3894,48,3588,57,523,11,31mar2020,Texas,7.912789220690681,3.850147601710058,1.290052896740841,1.452252328911688,6.261491684321042,2.484906649788,.4208500269476438,0
3949,48,4402,65,814,8,01apr2020,Texas,8.092851027538384,3.970291913552122,1.218652532085089,1.485385263764122,6.703188113240863,2.19722457733622,.4416964289198209,-.2876820724517808
4004,48,4952,80,550,15,02apr2020,Texas,8.134760782418645,4.0943445622221,.9684948082850076,1.203972804325936,6.311734809152915,2.772588722239781,-.391453304087948,.5753641449035616
4059,48,5773,98,821,18,03apr2020,Texas,8.24354550792826,4.30406509320417,.8745751057334674,1.259542655480747,6.71174039505618,2.94443897916644,.4000055859032647,.1718502569266591
4114,48,6566,124,793,26,04apr2020,Texas,8.339500903005945,4.553876891600541,.8247011425172746,1.295780353579059,6.677083461247136,3.295836866004329,-.0346569338090434,.3513978868378889
4169,48,7117,136,551,12,05apr2020,Texas,8.388450315523512,4.624972813284271,.7464059126502542,1.257676983297797,6.313548046277095,2.564949357461537,-.3635354149700412,-.7308875085427924
4224,48,8150,159,1033,23,06apr2020,Texas,8.534246945982066,4.736198448394496,.7771958039500522,1.047318994280559,6.941190055068374,3.178053830347946,.6276420087912795,.613104472886409
4279,48,8968,177,818,18,07apr2020,Texas,8.590629509489419,4.795790545596741,.6778402887987385,.9456429438866829,6.70808408385307,2.94443897916644,-.2331059712153047,-.2336148511815055
4334,48,9897,195,929,18,08apr2020,Texas,8.611775833902186,4.875197323201151,.5189248063638026,.9049054096490292,6.835184586147301,2.94443897916644,.1271005022942315,0
4389,48,11372,228,1475,33,09apr2020,Texas,8.767329147794049,5.003946305945459,.6325683653754037,.9096017437233588,7.297091005160418,3.526360524616162,.4619064190131166,.5819215454497213
4444,48,12291,249,919,21,10apr2020,Texas,8.782476268924539,5.023880520846276,.5389307609962781,.7198154276421063,6.824373670043086,3.091042453358316,-.4727173351173315,-.4353180712578455
4499,48,13208,265,917,16,11apr2020,Texas,8.801318947665241,4.955827057601261,.4618180446592959,.4019501660007201,6.822197390620491,2.833213344056216,-.0021762794225957,-.2578291093020999
4554,48,13776,288,568,23,12apr2020,Texas,8.803874763534434,5.030437921392435,.4154244480109224,.4054651081081646,6.343880434126331,3.178053830347946,-.4783169564941598,.3448404862917296
4609,48,14487,320,711,32,13apr2020,Texas,8.754318540250866,5.087596335232384,.2200715942688003,.351397886837888,6.568077911411976,3.49650756146648,.224197477285645,.3184537311185345
4664,48,15303,365,816,45,14apr2020,Texas,8.754002933494261,5.241747015059643,.1633734240048419,.4459564694629012,6.705639094860003,3.828641396489095,.1375611834480273,.3321338350226148
4719,48,16106,395,803,30,15apr2020,Texas,8.733916174927524,5.303304908059076,.1221403410253377,.4281075848579246,6.689599269178967,3.433987204485146,-.0160398256810366,-.3946541920039488
4774,48,16928,428,822,33,16apr2020,Texas,8.622813673279921,5.303304908059076,-.1445154745141277,.2993586021136165,6.71295620067707,3.526360524616162,.0233569314981033,.0923733201310153
4829,48,18131,461,1203,33,17apr2020,Texas,8.672657294040309,5.361292165709425,-.1098189748842291,.337411644863149,7.093404625868766,3.526360524616162,.3804484251916964,0
4884,48,18927,487,796,26,18apr2020,Texas,8.651724084373843,5.407171771460119,-.1495948632913979,.451344713858858,6.680854678790215,3.295836866004329,-.412549947078551,-.2305236586118324
4939,48,19441,503,514,16,19apr2020,Texas,8.642238680390461,5.375278407684165,-.1616360831439732,.34484048629173,6.244166900663736,2.833213344056216,-.4366877781264789,-.462623521948113
4994,48,20035,523,594,20,20apr2020,Texas,8.621373010325902,5.318119993844216,-.1329455299249638,.2305236586118324,6.38856140554563,3.044522437723423,.1443945048818938,.2113090936672068
1695,49,0,0,0,0,20feb2020,Utah,0,0,0,0,0,0,0,0
1750,49,0,0,0,0,21feb2020,Utah,0,0,0,0,0,0,0,0
1805,49,0,0,0,0,22feb2020,Utah,0,0,0,0,0,0,0,0
1860,49,0,0,0,0,23feb2020,Utah,0,0,0,0,0,0,0,0
1915,49,0,0,0,0,24feb2020,Utah,0,0,0,0,0,0,0,0
1970,49,1,0,1,0,25feb2020,Utah,.6931471805599453,0,.6931471805599453,0,.6931471805599453,0,.6931471805599453,0
2025,49,1,0,0,0,26feb2020,Utah,.6931471805599453,0,.6931471805599453,0,0,0,-.6931471805599453,0
2080,49,1,0,0,0,27feb2020,Utah,.6931471805599453,0,.6931471805599453,0,0,0,0,0
2135,49,1,0,0,0,28feb2020,Utah,.6931471805599453,0,.6931471805599453,0,0,0,0,0
2190,49,1,0,0,0,29feb2020,Utah,.6931471805599453,0,.6931471805599453,0,0,0,0,0
2245,49,1,0,0,0,01mar2020,Utah,.6931471805599453,0,.6931471805599453,0,0,0,0,0
2300,49,1,0,0,0,02mar2020,Utah,.6931471805599453,0,.6931471805599453,0,0,0,0,0
2355,49,1,0,0,0,03mar2020,Utah,0,0,-.6931471805599453,0,0,0,0,0
2410,49,1,0,0,0,04mar2020,Utah,0,0,-.6931471805599453,0,0,0,0,0
2465,49,1,0,0,0,05mar2020,Utah,0,0,-.6931471805599453,0,0,0,0,0
2520,49,3,0,2,0,06mar2020,Utah,1.09861228866811,0,.4054651081081645,0,1.09861228866811,0,1.09861228866811,0
2575,49,3,0,0,0,07mar2020,Utah,1.09861228866811,0,.4054651081081645,0,0,0,-1.09861228866811,0
2630,49,3,0,0,0,08mar2020,Utah,1.09861228866811,0,.4054651081081645,0,0,0,0,0
2685,49,3,0,0,0,09mar2020,Utah,1.09861228866811,0,.4054651081081645,0,0,0,0,0
2740,49,4,0,1,0,10mar2020,Utah,1.386294361119891,0,1.386294361119891,0,.6931471805599453,0,.6931471805599453,0
2795,49,5,0,1,0,11mar2020,Utah,1.6094379124341,0,1.6094379124341,0,.6931471805599453,0,0,0
2850,49,7,0,2,0,12mar2020,Utah,1.945910149055313,0,1.945910149055313,0,1.09861228866811,0,.4054651081081645,0
2905,49,7,0,0,0,13mar2020,Utah,1.6094379124341,0,.5108256237659905,0,0,0,-1.09861228866811,0
2960,49,21,0,14,0,14mar2020,Utah,2.94443897916644,0,1.84582669049833,0,2.70805020110221,0,2.70805020110221,0
3015,49,29,0,8,0,15mar2020,Utah,3.295836866004329,0,2.197224577336219,0,2.19722457733622,0,-.5108256237659905,0
3070,49,40,0,11,0,16mar2020,Utah,3.637586159726386,0,2.538973871058276,0,2.484906649788,0,.2876820724517808,0
3125,49,51,0,11,0,17mar2020,Utah,3.871201010907891,0,2.484906649788001,0,2.484906649788,0,0,0
3180,49,65,0,14,0,18mar2020,Utah,4.110873864173311,0,2.501435951739211,0,2.70805020110221,0,.2231435513142097,0
3235,49,80,0,15,0,19mar2020,Utah,4.30406509320417,0,2.358154944148857,0,2.772588722239781,0,.0645385211375711,0
3290,49,112,0,32,0,20mar2020,Utah,4.663439094112067,0,3.054001181677966,0,3.49650756146648,0,.7239188392266991,0
3345,49,138,0,26,0,21mar2020,Utah,4.770684624465665,0,1.826245645299225,0,3.295836866004329,0,-.2006706954621511,0
3400,49,182,1,44,1,22mar2020,Utah,5.03695260241363,.6931471805599453,1.7411157364093,.6931471805599453,3.80666248977032,.6931471805599453,.5108256237659905,.6931471805599453
3455,49,257,1,75,0,23mar2020,Utah,5.384495062789089,.6931471805599453,1.746908903062703,.6931471805599453,4.330733340286331,0,.5240708505160114,-.6931471805599453
3510,49,299,1,42,0,24mar2020,Utah,5.517452896464707,.6931471805599453,1.646251885556816,.6931471805599453,3.761200115693562,0,-.5695332245927687,0
3565,49,346,1,47,0,25mar2020,Utah,5.641907070938114,.6931471805599453,1.531033206764802,.6931471805599453,3.871201010907891,0,.1100008952143288,0
3620,49,402,1,56,0,26mar2020,Utah,5.777652323222656,.6931471805599453,1.473587230018486,.6931471805599453,4.04305126783455,0,.1718502569266591,0
3675,49,480,2,78,1,27mar2020,Utah,5.910796644040527,1.09861228866811,1.24735754992846,1.09861228866811,4.369447852467021,.6931471805599453,.3263965846324712,.6931471805599453
3730,49,608,2,128,0,28mar2020,Utah,6.154858094016418,1.09861228866811,1.384173469550753,1.09861228866811,4.859812404361672,0,.4903645518946504,-.6931471805599453
3785,49,719,2,111,0,29mar2020,Utah,6.287858560161784,.6931471805599453,1.250905957748155,0,4.718498871295094,0,-.1413135330665778,0
3840,49,806,4,87,2,30mar2020,Utah,6.309918278226516,1.386294361119891,.9254232154374273,.6931471805599453,4.477336814478207,1.09861228866811,-.2411620568168873,1.09861228866811
3895,49,887,5,81,1,31mar2020,Utah,6.378426183651587,1.6094379124341,.8609732871868792,.916290731874155,4.406719247264253,.6931471805599453,-.0706175672139535,-.4054651081081645
3950,49,1012,7,125,2,01apr2020,Utah,6.502790045915623,1.945910149055313,.8608829749775095,1.252762968495368,4.836281906951478,1.09861228866811,.4295626596872246,.4054651081081645
4005,49,1077,7,65,0,02apr2020,Utah,6.516193076042964,1.945910149055313,.7385407528203078,1.252762968495368,4.189654742026425,0,-.6466271649250528,-1.09861228866811
4060,49,1248,7,171,0,03apr2020,Utah,6.645090969505644,1.791759469228055,.7342943254651173,.6931471805599452,5.147494476813453,0,.9578397347870276,0
4115,49,1426,8,178,1,04apr2020,Utah,6.70808408385307,1.945910149055313,.5532259898366521,.8472978603872034,5.187385805840755,.6931471805599453,.0398913290273022,.6931471805599453
4170,49,1618,8,192,0,05apr2020,Utah,6.802394763324311,1.945910149055313,.5145362031625265,1.252762968495368,5.262690188904886,0,.0753043830641307,-.6931471805599453
4225,49,1662,13,44,5,06apr2020,Utah,6.75343791859778,2.302585092994046,.4435196403712638,.9162907318741553,3.80666248977032,1.791759469228055,-1.456027699134566,1.791759469228055
4280,49,1737,13,75,0,07apr2020,Utah,6.746412128573374,2.19722457733622,.3679859449217879,.5877866649021193,4.330733340286331,0,.5240708505160114,-1.791759469228055
4335,49,1860,13,123,0,08apr2020,Utah,6.744059186311348,1.945910149055313,.2412691403957243,0,4.820281565605037,0,.489548225318706,0
4390,49,1980,13,120,0,09apr2020,Utah,6.806829360392176,1.945910149055313,.2906362843492118,0,4.795790545596741,0,-.0244910200082957,0
4445,49,2103,17,123,4,10apr2020,Utah,6.752270376141742,2.397895272798371,.1071794066360976,.6061358035703157,4.820281565605037,1.6094379124341,.0244910200082957,1.6094379124341
